Row,Column,Value
7000,Frank Lloyd,1
7038,Cecil B. DeMille,1
7061,Paul Powell,1
7074,J. Searle Dawley,1
7120,George Foster Platt,1
7142,James Young,1
7160,William S. Hart,1
7167,Charles Giblyn,1
7167,Thomas H. Ince,1
7184,Raoul Walsh,1
7202,Sidney Olcott,1
7205,Arthur Maude,1
7220,Fred E. Wright,1
7246,Maurice Tourneur,1
7248,Donald Crisp,1
7255,William Desmond Taylor,1
7257,Christy Cabanne,1
7272,Francis X. Bushman,1
7272,John W. Noble,1
7303,William P.S. Earle,1
7303,Wally Van,1
7317,George L. Sargent,1
7338,Arthur Berthelet,1
7340,Lois Weber,1
7367,John Emerson,1
7368,Christy Cabanne,1
7453,Edward LeSaint,1
7454,Charles Swickard,1
7544,Rupert Julian,1
7558,Phillips Smalley,1
7558,Lois Weber,1
7573,Maurice Tourneur,1
7590,Frank Lloyd,1
7590,Eugene Moore,1
7610,Ruth Ann Baldwin,1
7617,Chester M. Franklin,1
7617,Sidney Franklin,1
7654,Robert Z. Leonard,1
7699,Paul Powell,1
7712,William Nigh,1
7778,Frank Reicher,1
7795,George Loane Tucker,1
7817,J. Stuart Blackton,1
7826,William P.S. Earle,1
7834,Travers Vale,1
7867,Joseph De Grasse,1
7873,John Emerson,1
7927,Herbert Brenon,1
7931,Joseph Henabery,1
7932,George B. Seitz,1
7942,Fred Kelsey,1
7944,Allan Dwan,1
8011,Maurice Tourneur,1
8022,Reginald Barker,1
8028,Stuart Paton,1
8041,Phillips Smalley,1
8041,Lois Weber,1
8134,John Emerson,1
8144,Chester M. Franklin,1
8144,Sidney Franklin,1
8151,Francis Ford,1
8188,Cecil B. DeMille,1
8188,Joseph Levering,1
8196,Marshall Neilan,1
8259,Ernest C. Warde,1
8271,John Ford,1
8305,Frank Lloyd,1
8319,Robert Z. Leonard,1
8362,William S. Hart,1
8362,Lambert Hillyer,1
8411,Jacques Jaccard,1
8411,Leopold Wharton,1
8411,Theodore Wharton,1
8443,Maurice Tourneur,1
8458,Maurice Tourneur,1
8476,Grace Cunard,1
8476,Francis Ford,1
8489,George Irving,1
8498,John Emerson,1
8541,Joseph De Grasse,1
8544,Richard Stanton,1
8550,William C. de Mille,1
8551,John Ford,1
8561,Hugh Ford,1
8562,Louis J. Gasnier,1
8562,Donald MacKenzie,1
8571,William S. Hart,1
8579,Allen Holubar,1
8623,William S. Hart,1
8634,John Ford,1
8652,Frank Lloyd,1
8677,George Bellamy,1
8677,J. Gordon Edwards,1
8687,William Desmond Taylor,1
8735,Ernest C. Warde,1
8743,Harley Knoles,1
8754,Emile Chautard,1
8764,Maurice Tourneur,1
8775,John Emerson,1
8787,J. Stuart Blackton,1
8787,William P.S. Earle,1
8797,Arthur Berthelet,1
8808,Douglas Gerrard,1
8821,Chester M. Franklin,1
8821,Sidney Franklin,1
8827,Marshall Neilan,1
8892,William S. Hart,1
8912,William S. Hart,1
8915,Allan Dwan,1
8918,William S. Hart,1
8919,Ben F. Wilson,1
8955,Julius Steger,1
8978,Francis Ford,1
8978,John Ford,1
8990,Harry A. Pollard,1
9017,George Loane Tucker,1
9046,Albert Capellani,1
9046,Alla Nazimova,1
9047,Lloyd Ingraham,1
9079,Clarence G. Badger,1
9130,D.W. Griffith,1
9133,D.W. Griffith,1
9136,Wray Bartlett Physioc,1
9150,D.W. Griffith,1
9153,John Ford,1
9204,George B. Seitz,1
9205,Albert Capellani,1
9209,William Desmond Taylor,1
9240,William Humphrey,1
9240,George Loane Tucker,1
9241,William Desmond Taylor,1
9249,Jack Harvey,1
9249,Cliff Saum,1
9252,Rupert Julian,1
9267,Robert G. Vignola,1
9273,W.S. Van Dyke,1
9309,Harley Knoles,1
9325,J.P. McGowan,1
9356,Joseph Maxwell,1
9358,Thomas N. Heffron,1
9369,F. Richard Jones,1
9369,James Young,1
9400,Allan Dwan,1
9405,Edward José,1
9440,Cecil B. DeMille,1
9470,Wilfrid North,1
9475,Walter Edwards,1
9523,Maurice Tourneur,1
9543,George D. Baker,1
9544,Tod Browning,1
9560,Wilfred Lucas,1
9573,J. Gordon Edwards,1
9600,William S. Hart,1
9608,Albert Parker,1
9650,Cecil B. DeMille,1
9651,Arthur Hoyt,1
9652,Marshall Neilan,1
